"ANO4","IPCF","IPCF_AE","IPCF_act","IPCF_AE_act","GENERO"
2019,5000,6377.55102040816,5919.63642966078,7550.55667048568,1
2019,9660,12227.8481012658,11436.7375821046,14476.8830153223,2
2019,11625,15500,13763.1546989613,18350.8729319484,2
2019,1825,2267.08074534161,2160.66729682618,2684.05875382134,2
2019,30000,34482.7586206897,35517.8185779647,40825.0788252467,1
2019,12500,16666.6666666667,14799.0910741519,19732.1214322026,2
2019,5860,7630.20833333333,6937.81389556243,9033.61184318025,2
2019,21666.67,28017.2413793103,25651.7618082876,33170.376545513,1
2019,35000,39106.1452513967,41437.4550076254,46298.8324107547,1
2019,4740,6676.05633802817,5611.81533531841,7903.96526101185,1
2019,12750,14613.1805157593,15095.072895635,17300.9431468596,2
2019,23625,33992.8057553957,27970.2821301472,40245.0102592046,2
2019,27750,34049.0797546012,32853.9821846173,40311.6345823525,1
2019,13400,16144.578313253,15864.6256314909,19114.0067849288,1
2019,14600,18717.9487179487,17285.3383746095,22160.6902238583,1
2019,18333.33,21696.2524654832,21705.3296289986,25686.7852963584,2
2019,2981.82,4059.40594059406,3530.25805973822,4806.04145774439,1
2019,45750,45750,54164.6733313961,54164.6733313961,1
2019,6760,8047.61904761905,8003.34845290137,9527.79577726353,2
2019,10200,12803.3472803347,12076.058316508,15158.2321964535,1
2019,6666.67,9049.77375565611,7892.85251930532,10714.274080834,2
2019,15666.67,21860.4651162791,18548.1980926947,25881.2011343308,1
2019,5860,7630.20833333333,6937.81389556243,9033.61184318025,2
2019,14300,20283.6879432624,16930.1601888298,24014.4116153614,2
2019,1500,2222.22222222222,1775.89092889823,2630.94952429368,1
2019,13250,19702.6022304833,15687.0365386011,23326.4483845369,2
2019,12857.14,16666.6666666667,15221.9188650497,19732.1214322026,1
2019,5400,7500,6393.20734403364,8879.45464449116,2
2019,5600,7446.8085106383,6629.99280122007,8816.47978885648,1
2019,12000,13953.488372093,14207.1274311859,16519.915617658,2
2019,5000,7142.85714285714,5919.63642966078,8456.62347094396,1
2019,11166.67,15261.9589977221,13220.525306,18069.049694181,2
2019,9250,10481.5864022663,10951.3273948724,12409.4361414985,2
2019,20750,29432.6241134752,24566.4911830922,34846.086784528,2
2019,20333.33,24206.3492063492,24073.1842008629,28658.557318199,2
2019,7066.67,7571.42857142857,8366.42343367818,8964.0208792006,2
2019,18250,25000,21606.6729682618,29598.1821483039,1
2019,5500,8494.20849420849,6511.60007262685,10056.5252086901,2
2019,14460,19228.7234042553,17119.588554579,22765.4103119401,2
2019,12200,15174.1293532338,14443.9128883723,17965.0657815576,2
2019,8666.67,10970.4641350211,10260.7070911696,12988.2318287916,2
2019,9900,13702.4221453287,11720.8801307283,16222.6714612157,2
2019,6400,8101.26582278481,7577.13462996579,9591.30965818455,2
2019,8237.5,9550.72463768116,9752.60101786613,11307.3634989752,2
2019,10000,11013.2158590308,11839.2728593216,13038.8467613673,1
2019,17800,20697.6744186047,21073.9056895924,24504.541499526,1
2019,8333.33,10822.5108225108,9866.056769677,12813.0658650666,2
2019,4300,5784.7533632287,5090.88732950827,6848.72734911426,2
2019,57500,64971.7514124294,68075.8189410989,76921.8293119762,2
2019,5857.14,7578.55822550832,6934.42786352466,8972.46187120487,1
2019,4333.33,4676.25899280576,5130.34762594839,5536.35061766835,1
2019,10000,11682.2429906542,11839.2728593216,13830.9262375252,1
2019,39666.67,46484.375,46962.4529550664,55034.1199320025,2
2019,18000,26865.671641791,21310.6911467788,31807.0017116101,2
2019,16000,18130.3116147309,18942.8365749145,21464.9706231326,2
2019,6014.29,7935.9095193214,7120.4820365089,9395.53981861333,2
2019,15000,20107.2386058981,17758.9092889823,23805.5084302712,1
2019,7000,8045.97701149425,8287.49100152508,9525.8517258909,1
